,index,date,comments,likes,title,price
1,2,18-10-2016,0,665,V ľudskej koži,"11,01 €"
18,161,29-01-2016,7,467,Prezident,"10,32 €"
10,9,04-10-2016,6,413,Dievča vo vlaku,"10,64 €"
7,5,13-10-2016,12,400,Získaj si jej priazeň,"10,59 €"
17,76,16-06-2016,3,353,Nežná fatamorgána,"11,53 €"
12,13,29-09-2016,4,336,Harry Potter 1 - 7 (box),"53,31 €"
9,7,10-10-2016,8,326,Danka a Janka,"5,52 €"
14,16,22-09-2016,4,225,Najkrajšie slovenské rozprávky,"17,79 €"
3,3,15-10-2016,3,216,Nie som žiadna bábovka,"13,52 €"
5,3,15-10-2016,3,216,Príbeh nového priezviska,"13,80 €"
16,62,06-07-2016,1,188,Geniálna priateľka,"12,45 €"
15,29,24-08-2016,4,156,Peklo je otvorené,"12,42 €"
0,0,21-10-2016,4,106,Sova,"12,72 €"
28,445,03-09-2013,0,61,Diabol v zrkadle,"9,56 €"
22,419,05-10-2013,2,56,Ekonómia,"26,70 €"
32,454,28-11-2012,6,55,Divá Bára / Dobrý člověk,"7,76 €"
26,437,11-09-2013,1,49,Montessori - Aktivity pre deti,"12,37 €"
29,447,01-09-2013,1,48,Smrť na druhom brehu,"10,36 €"
20,412,12-10-2013,1,43,Hra s ohňom,"9,70 €"
23,429,21-09-2013,3,41,Špiónka,"7,92 €"
19,407,13-10-2013,0,35,Bezduché mesto,"13,79 €"
30,449,31-08-2013,3,34,Ztraceno ve vlnách,"12,44 €"
31,453,09-12-2012,0,33,Myslivecké příběhy z hor,"10,49 €"
34,466,30-10-2012,0,33,Královna ohně,"16,73 €"
24,432,18-09-2013,1,30,Sex s ex (alebo milujte ma ešte raz),"8,12 €"
27,440,07-09-2013,0,30,Šarha,"10,90 €"
21,415,11-10-2013,2,29,Biela levica (Severský triler),"13,26 €"
25,436,12-09-2013,3,20,Harry Potter a Tajomná komnata (kniha 2) (Ilustrovaná edícia),"23,92 €"
33,465,31-10-2012,1,12,Knižnica duší,"12,86 €"
