,index,date,comments,likes,title,price
1,2,2016-10-18 11:46:14,0,665,V ľudskej koži,"11,01 €"
14,161,2016-01-29 19:17:10,7,467,Prezident,"10,32 €"
6,9,2016-10-04 11:32:38,6,413,Dievča vo vlaku,"10,64 €"
4,5,2016-10-13 09:46:58,12,400,Získaj si jej priazeň,"10,59 €"
13,76,2016-06-16 13:25:13,3,353,Nežná fatamorgána,"11,53 €"
8,13,2016-09-29 11:47:26,4,336,Harry Potter 1 - 7 (box),"53,31 €"
5,7,2016-10-10 12:32:16,8,326,Danka a Janka,"5,52 €"
10,16,2016-09-22 10:42:30,4,225,Najkrajšie slovenské rozprávky,"17,79 €"
2,3,2016-10-15 14:30:55,3,216,Nie som žiadna bábovka,"13,52 €"
3,3,2016-10-15 14:30:55,3,216,Príbeh nového priezviska,"13,80 €"
12,62,2016-07-06 14:56:26,1,188,Geniálna priateľka,"12,45 €"
11,29,2016-08-24 13:07:54,4,156,Peklo je otvorené,"12,42 €"
0,0,2016-10-21 11:50:03,4,106,Sova,"12,72 €"
24,445,2013-09-03 08:54:07,0,61,Diabol v zrkadle,"9,56 €"
18,419,2013-10-05 12:11:34,2,56,Ekonómia,"26,70 €"
28,454,2012-11-28 12:44:47,6,55,Divá Bára / Dobrý člověk,"7,76 €"
22,437,2013-09-11 20:34:26,1,49,Montessori - Aktivity pre deti,"12,37 €"
25,447,2013-09-01 15:10:47,1,48,Smrť na druhom brehu,"10,36 €"
16,412,2013-10-12 08:15:07,1,43,Hra s ohňom,"9,70 €"
19,429,2013-09-21 12:05:47,3,41,Špiónka,"7,92 €"
15,407,2013-10-13 10:19:20,0,35,Bezduché mesto,"13,79 €"
26,449,2013-08-31 09:54:51,3,34,Ztraceno ve vlnách,"12,44 €"
27,453,2012-12-09 11:43:27,0,33,Myslivecké příběhy z hor,"10,49 €"
30,466,2012-10-30 11:40:22,0,33,Královna ohně,"16,73 €"
20,432,2013-09-18 18:00:31,1,30,Sex s ex (alebo milujte ma ešte raz),"8,12 €"
23,440,2013-09-07 13:12:20,0,30,Šarha,"10,90 €"
17,415,2013-10-11 12:43:06,2,29,Biela levica (Severský triler),"13,26 €"
21,436,2013-09-12 17:43:20,3,20,Harry Potter a Tajomná komnata (kniha 2) (Ilustrovaná edícia),"23,92 €"
29,465,2012-10-31 17:07:12,1,12,Knižnica duší,"12,86 €"
