code,date,comments,likes,caption,image
BL0g9FMgm9L,1477043403,4,106,"Na našom Youtube kanále nájdete najnovší diel rubriky #martinusaciradia. Tentoraz s Majkou z nášho bratislavského kníhkupectva a verte nám,  od nej si chcete nechať poradiť :) Link na video nájdete v profile. Pekný víkend všetkým! #martinus #martinussk #knihy #kniha #citam #pravecitam #cocitat #viaccasunacitanie #tipnaknihu",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c145.0.790.790/14701294_1668243843504962_5826764229612404736_n.jpg?ig_cache_key=MTM2NTg2MTUyMTk1NTEyMzAxOQ%3D%3D.2.c
BLyLQkNg8hb,1476964919,5,236,"Naša Borka, ktorú môžete stretnúť v kníhkupectve v bratislavskom Cubicone. Ale zatiaľ bez koňa a opičky 😳 #martinussk #martinusaci #borkazcubiconu #pippidlhapancucha #slovart_vyd #podobnostcistonahodna",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/14736272_1604244116543412_3463541475231399936_n.jpg?ig_cache_key=MTM2NTIwMzE1Mzk1MTM3NzQ5OQ%3D%3D.2
BLsyIhQgRD8,1476783974,0,665,"K tomuto počasiu sa hodia skôr teplé nápoje, ale čo už máme robiť, keď tie severské detektívky sú také dobré ☕️😳📖 #knihy #martinussk #severskakrimi #vludskejkozi #jørgenbrekke #vydavatelstvopremedia #martinushrncek",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/14716546_1092018884215689_7697990302618877952_n.jpg?ig_cache_key=MTM2MzY4NTI3NDk3ODE2MDg5Mg%3D%3D.2
BLlWmEJgaHa,1476534655,3,216,"Aký máte zatiaľ víkend? Ak hľadáte inšpiráciu na víkendové varenie či pečenie, tieto dve knižky naozaj odporúčame 👌🍰📖 #tipnaknihu #martinussk #knihy #vikend #viaccasunacitanie #viaccasunapecenie #thestoryofacake #thestoryofacakeblog #stvoryzkuchyne #miriamkalisova #niesomziadnababovka",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/14712080_1230740073652337_6114942524990685184_n.jpg?ig_cache_key=MTM2MTU5MzgzNTE2NzI2MTE0Ng%3D%3D.2
BLiJIdagN63,1476426933,0,303,Aj vy už máte nachystanú kôpku kníh na víkend? 📚 #vikend #viaccasunacitanie #martinussk #oddych #pohodasknihou #jesensknihami,https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/14711993_586059268267986_797095223753703424_n.jpg?ig_cache_key=MTM2MDY5MDIwMTE3Njg5MTA2Mw%3D%3D.2
BLfsgqlBu_6,1476344818,12,400,"Aha, čo nám práve dorazilo na sklad. Nový George R.R. Martin! Kto sa teší tak ako my? Naši kolegovia na baliarni už rýchlo balia, aby ste mohli svoje objednané knihy čoskoro držať v rukách 🙏📖 #tipnaknihu #martinussk #tanecsdrakmi #georgerrmartin #novinka",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/14693730_1088627221252437_4801272970158800896_n.jpg?ig_cache_key=MTM2MDAwMTM3MTI3NzI5MTUxNA%3D%3D.2
BLbaX-1As1X,1476201092,2,340,Nové číslo magazínu O knihách rozdávame k nákupom od zajtra vo všetkých našich kníhkupectvách! A je tam aj náš miláčik Harry 🙏⚡️#martinussk #sme #magazinoknihach #harrypotter #harrypotterforever,https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/14677315_541696172696566_2935857807515189248_n.jpg?ig_cache_key=MTM1ODc5NTcwOTgwMDk1OTMxOQ%3D%3D.2
BLYRCu4AD9a,1476095536,8,326,"Waw! Naše kníhkupectvo v Cubicone sa objavilo v knihe o najlepších kníhkupectvách sveta! New York, San Francisco, Chicago, Paríž, Porto...a Bratislava! 🙏 #bobeckstein #footnotesfromtheworldsgreatestbookstores #martinussk #cubicon #bookstore",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/14590944_1046121792172173_5617012943297183744_n.jpg?ig_cache_key=MTM1NzkxMDI0MjIxMzUxMTAwMg%3D%3D.2
BLSrJ3XgJCV,1475907900,5,419,Dobré ránko! Víkend si zaslúži pomalé raňajky s knihou 📖☕️ S akou knihou dnes raňajkujete vy? 😊 #vikend #viaccasunacitanie #sobotnerano #ranajkysknihou #martinussk #books #bookstagram #morninstories,https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/14448303_1800428080171366_5480135458014887936_n.jpg?ig_cache_key=MTM1NjMzNjIzMTcxNzMxMDYxMw%3D%3D.2
BLItcpPA9jD,1475573558,6,413,Toto daždivé jesenné počasie si pýta teplý šál a dobrú knihu! Dievča vo vlaku vyšlo len nedávno s filmovou obálkou a čoskoro bude aj v kinách! 🍁🍂📖 #tipnaknihu #knihy #martinussk #dievcavovlaku #slovart_vyd #bestseller  #thegirlonthetrain #readingtime,https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/14590925_970480866394023_5659488340198555648_n.jpg?ig_cache_key=MTM1MzUzMTU2ODUzODUwNzQ1OQ%3D%3D.2
